My estimation,Old Price,Diferenta de preturi,Procentul erorii,
219643.32,220000,356.680000000022,0.162127272727283,
127352.6,159000,31647.4,19.9040251572327,
170683.3925,171000,316.607500000042,0.185150584795346,
213174.3675,179000,34174.3675,19.0918254189944,
133255.34875,109000,24255.34875,22.2526135321101,
117968.5218,117000,968.521800000002,0.827796410256412,
217008.335,129000,88008.335,68.223515503876,
95018.05,115000,19981.95,17.3756086956522,
110798.5225,121000,10201.4775,8.43097314049585,
94476.39135,105000,10523.60865,10.0224844285714,
112195.89375,69000,43195.89375,62.6027445652174,
122017.81165,229000,106982.18835,46.7171128165939,
104598.9875,155000,50401.0125,32.5167822580645,
128992.5,144000,15007.5,10.421875,
172859.825,166000,6859.82499999998,4.13242469879517,
80856.0875,85000,4143.91250000001,4.8751911764706,
118284.13125,119000,715.868749999994,0.601570378151256,
44925.1655,63000,18074.8345,28.6902134920635,
122633.876875,149000,26366.123125,17.695384647651,
170683.3925,185000,14316.6075,7.73870675675678,
127299.23195,179000,51700.76805,28.8831106424581,
125769.74,149000,23230.26,15.5907785234899,
170683.3925,185000,14316.6075,7.73870675675678,
167851,185000,17149,9.26972972972974,
71314.97105,125000,53685.02895,42.94802316,
202788,149000,53788,36.0993288590604,
104394,89000,15394,17.2966292134831,
205814.203,189000,16814.203,8.89640370370371,
327909.500175,500000,172090.499825,34.418099965,
95827.305,98000,2172.69500000001,2.21703571428572,
170683.3925,99000,71683.3925,72.4074671717171,
305424.35,399000,93575.65,23.4525438596491,
103312.91375,149000,45687.08625,30.6624739932886,
105357.44125,122000,16642.55875,13.6414415983607,
169826.01,210000,40173.99,19.1304714285714,
161483.01875,210000,48516.98125,23.1033244047619,
186389,249000,62611,25.1449799196787,
105357.44125,133000,27642.55875,20.7838787593985,
169826.01,205000,35173.99,17.158043902439,
160724.565,205000,44275.435,21.5977731707317,
145555.49,175000,29444.51,16.8254342857143,
105357.44125,133000,27642.55875,20.7838787593985,
169826.01,205000,35173.99,17.158043902439,
160724.565,205000,44275.435,21.5977731707317,
61984.2609,79900,17915.7391,22.422702252816,
71314.97105,125000,53685.02895,42.94802316,
43322.8406,69000,25677.1594,37.2132744927536,
131964.587025,129000,2964.58702500002,2.2981294767442,
940689.525,795000,145689.525,18.3257264150943,
122633.876875,135000,12366.123125,9.1600912037037,
142521.675,225000,82478.325,36.6570333333333,
89976.39135,69000,20976.39135,30.400567173913,
52936.79,79000,26063.21,32.9914050632911,
133255.34875,120000,13255.34875,11.0461239583333,
91335.93975,135000,43664.06025,32.3437483333333,
128116.245,149500,21383.755,14.3035150501672,
215695.24,169000,46695.24,27.6303195266272,
173677.636,170000,3677.63599999997,2.16331529411763,
160724.565,185000,24275.435,13.1218567567568,
307042.86,229000,78042.86,34.0798515283843,
161700.662,245000,83299.338,33.9997297959184,
155712.175,169000,13287.825,7.86261834319527,
332574.85525,240000,92574.85525,38.5728563541667,
444543.37705,259000,185543.37705,71.6383695173745,
267996.30625,419000,151003.69375,36.0390677207637,
98821.5485,74900,23921.5485,31.937981975968,
231782.145,145000,86782.145,59.8497551724138,
106874.34875,145000,38125.65125,26.2935525862069,
167851,179000,11149,6.22849162011175,
61984.2609,76000,14015.7391,18.4417619736842,
88341.69625,99000,10658.30375,10.7659633838384,
206290.6125,199000,7290.61249999999,3.66362437185929,
80645.6812,69000,11645.6812,16.8777988405797,
262594.529125,435000,172405.470875,39.6334415804598,
169703.4675,767657,597953.5325,77.8933211707833,
329702,379000,49298.0000000001,13.0073878627968,
188069.15,279000,90930.85,32.5917025089606,
145960.65225,219000,73039.34775,33.3513003424657,
95827.305,99000,3172.69500000001,3.20474242424243,
200221.2,139000,61221.2,44.0440287769784,
56902.1395,70000,13097.8605,18.7112292857143,
73370.47875,95000,21629.52125,22.7679171052632,
95827.305,99000,3172.69500000001,3.20474242424243,
110798.5225,99000,11798.5225,11.9176994949495,
208111.43625,110000,98111.43625,89.1922147727273,
145960.65225,119000,26960.65225,22.6560102941177,
141295.297175,130000,11295.297175,8.6886901346154,
110798.5225,169000,58201.4775,34.4387440828402,
329702,319000,10701.9999999999,3.35485893416926,
653404,340000,313404,92.1776470588235,
155291.3624,199000,43708.6376,21.9641394974874,
159956.717475,119000,40956.717475,34.4174096428571,
234602.398675,325000,90397.601325,27.8146465615385,
99307.1015,159000,59692.8985,37.5427034591195,
313913.43495,520000,206086.56505,39.6320317403846,
195080.47,120000,75080.47,62.5670583333333,
138356.329,100000,38356.329,38.356329,
138356.329,100000,38356.329,38.356329,
138356.329,100000,38356.329,38.356329,
138356.329,100000,38356.329,38.356329,
